zip5	dorminant_race	dorminant_income	parents_with_children
02639	white	inc_25k_50k	0.390452876376989
02642	white	inc_50k_75k	0.2145748987854251
02644	white	inc_100k_150k	0.3481675392670157
02645	white	inc_100k_150k	0.2578409919766594
02646	white	inc_25k_50k	0.10491071428571429
02647	white	inc_100k_150k	0.5
02648	white	inc_100k_150k	0.30479102956167176
02649	white	inc_25k_50k	0.3213032581453634
02650	white	inc_100k_150k	0.15625
02652	white	inc_50k_75k	0.28846153846153844
02653	white	inc_25k	0.23157248157248156
02655	white	inc_50k_75k	0.21150097465886938
02657	white	inc_25k_50k	0.09449929478138223
02659	white	inc_50k_75k	0.2965779467680608
02660	white	inc_25k_50k	0.23879810226673695
02663	white	inc_25k	""
02664	white	inc_25k_50k	0.20361041141897565
02666	white	inc_50k_75k	0.031746031746031744
02667	white	inc_50k_75k	0.24408602150537634
02668	white	inc_100k_150k	0.3390052356020942
02670	white	inc_25k_50k	0.10876132930513595
02671	white	inc_50k_75k	0.1700404858299595
02673	white	inc_25k_50k	0.25495495495495496
02675	white	inc_25k_50k	0.22397476340694006
026MX	hispanic	inc_25k	""
02702	white	inc_100k_150k	0.34703557312252964
02703	white	inc_100k_150k	0.42191828254847646
02713	white	inc_100k_150k	0.0
02715	white	inc_100k_150k	0.40618336886993606
02717	white	inc_25k_50k	0.375
02718	white	inc_100k_150k	0.35318155283129016
